id,name,sku,quantity,price_cents,expiry_date
501,SODA GLYCERIN DRAP,427,6,1500,2018-07-07
502, SCABION LIOTION,418,1,8770,2020-10-10
503,SYNFLEX 550 MG TABLET,1851,59,1325,2020-11-30
504,ECP SABZAZ STARA TABLET,430,5,1500,2022-04-04
505,SHECHI SMALL GURAS,422,4,7000,2021-10-31
506,SHECHI LARGE GURAS,420,2,8000,2021-10-30
507,SUCRAL 200 TABLET FATHER,450,1,17500,2018-06-06
508,PASMOLEX DROPS,448,1,14600,2020-09-30
509,TOOT SIAH 60 ML SYRUP QARSHI,456,2,5500,2020-10-10
510,TOOT SIAH 120 ML SYRUP QARSHI,449,26,8000,2020-11-30
511,TRAVOCORT CAREM,460,6,12900,2022-10-30
512,TENORMIN 50 MG TABLET,445,47,619,2022-08-30
513,TENORMIN 100 MG TABLET,442,25,945,2022-08-30
514,TRANSAMIN 250 MG CAPSUL,459,15,831,2021-02-02
515,LACTOGEN 1 MILK 200 GR,453,5,24500,2018-12-30
516,LACTOGEN 2 MILK 200 GR,455,2,24500,2018-11-30
517,BETABISOL-N DROPS,463,5,2800,2018-08-08
518,SURGICAL BLADES,461,6,2000,2022-02-04
519,VOLTRAL EMULGEL GELL,458,3,11183,2020-11-30
520,CLARITEK DROPS,447,5,11100,2019-09-30
521,KENACOMB CREAM,986,5,7404,2019-10-30
523,RISEK 20 MG SACHETS,457,22,1210,2019-10-30
524,RISEK 40 MG SACHETS,462,23,2028,2019-09-30
525,BETNESOL-N DROPS,437,13,3389,2019-09-30
526,CHLORPHENIRAMINE TABLET,464,1120,14,2020-02-02
527,PULMONOL SYRUP,443,28,8000,2019-09-09
528,COSOME-E SYRUP,438,3,5200,2019-05-05
529,VIDAYLIN L SYRUP,535,3,10914,2018-08-08
530,DUPHALAC 120 ML SYRUP,485,3,17092,2020-06-30
531,AXID NEO 20 MG CAPSULES,484,29,857,2018-11-11
532,ALKI QABAZ KASHA TABLET,492,2,120,2020-02-02
533,BELLADERMA PLASTER,469,12,1500,2020-05-05
534,BAYDAL TABLET,481,75,420,2020-09-30
535,BOAN-D3 CAPSUL,478,47,1750,2019-03-03
536,COTTON ROLL LARGE,490,16,9000,2019-03-02
537,CHAP-ET,477,22,2000,2019-12-12
538,CARICEF 200 MG TABLET,472,16,3184,2019-06-06
539,CORN PLASTER,475,47,1000,2021-06-06
540,CIPOCAIN EAR DARAP,480,4,8114,2019-10-30
541,DISPROL TABLET,487,74,120,2019-12-12
542,DMOST TABLET,514,42,1200,2018-11-30
543,DMOST  SYRUP,50,10,18000,2019-02-02
544,DMOST DROPS,482,12,30000,2019-03-02
545,CARDIOSIL PLUS 5 MG 160 MG TABLETS,467,14,1500,2018-03-03
546,FAMILA 28F TABLET,471,120,71,2018-10-10
547,JOHNSONS BABY SKINCARE WIPES 20 COTTON,491,3,20000,2018-03-02
548,GLYCERINE BATI,512,1,500,2020-04-04
549,HYDROGEN ,465,11,1540,2019-06-30
550,KLINT 400 MG TABLET,488,167,150,2020-10-30
551,ALWAYS ULTRA 8 PEAC,582,1,15000,2022-02-04
552,ALP 0.25 MG TABLET,518,16,509,2019-11-11
553,NIVAQUINE P SYRUP,507,0,2800,2018-09-09
554,ZETRO 200 MG SYRUP,495,6,16800,2019-12-30
555,TRANSAMIN 500 MG CAPSUL,520,38,1673,2021-10-30
556,TRANSAMIN 250 MG INJECTION,511,6,4580,2020-01-01
557,TRANSAMIN 500 MG INJECTION,501,1,10000,2019-10-10
558,PARLODEL TABLETS,506,10,1790,2019-07-07
559,FLYTRO CREAM,517,3,10000,2019-10-01
560, TRES-ORIX FORT SYRUP,509,1,9000,2019-11-11
561, THYROXINE TABLET,524,2,10286,2019-11-11
562,TRIMETABOL SYRUP ,536,7,7446,2018-12-30
563,TARIVID 200 MG TABLET,526,10,2968,2020-06-06
564,LANZIT CAPSULES,580,14,1500,2019-05-30
565,ULCEREX INJECTION,549,7,1840,2018-04-04
566,URIXIN 400 TABLET,575,73,1030,2019-10-10
567,VERMOX SYRUP,545,5,4057,2022-08-30
568,VERMOX 500 MG TABLETS,543,9,2166,2018-11-11
569,PROCOMIL SPRAY TESTER,537,9,10000,2024-11-11
570,VIGURINE SMALL SYRUP,540,2,5000,2019-09-09
571,VIGURINE LARGE SYRUP,544,3,7500,2020-06-06
572,CARMINA PLUS TABLETS,523,3,7500,2019-08-08
573,VELOSEF 125 MG SYRUP,548,3,14000,2020-09-30
574,VELOSEF 250 MG SYRUP,525,3,21160,2020-10-30
575,VELOSEF 250 MG CAPSULES,539,37,1038,2020-09-30
576,VELOSEF 500 MG CAPSULES,594,44,2039,2020-10-30
577,VASELINE SMALL,527,2,3000,2020-12-12
578,VENTOLIN 2 MG TABLET,532,60,100,2019-02-02
579,VENTOLIN 4 MG TABLET,547,252,118,2019-09-30
580,VENTOLIN TABLET LOZ,533,400,20,2020-12-18
581,VENTOLIN SOLUTION,562,3,3550,2019-12-31
582,VIBION INJECTION,529,26,1000,2018-06-06
583,VICKS ,531,10,3600,2020-03-30
584,VEGAH 100 TABLET ,530,16,3000,2019-12-30
585,VOREN 75 INJECTION,538,30,2739,2022-10-30
586,VOREN 50 TABLET,546,77,556,2022-10-30
587,VOREN 50 MG CAPSUL,542,39,707,2019-04-04
588,VIBRAMYCIN CAPSULES,551,135,636,2020-09-30
589,VIMMS SYRUP,877,8,18000,2019-05-05
590,BEFLAM 75 MG TABLET,528,38,500,2020-08-30
591,MNTK 10 MG TABLETS,552,49,1200,2019-10-30
592,WINTOGENO CAREM,557,2,6000,2020-10-30
593,ISOTRATE 20 MG TABLETS,571,48,414,2020-01-30
594,SONNET 250 MG IM INJECTION,577,5,9000,2019-06-06
595,XANAX 0.5 MG TABLET,1117,21,732,2020-08-30
596,XYLOCAINE 10 ML INJECTION,563,4,1863,2019-08-08
597,DE-COUGH SYRUP,555,3,7000,2018-12-12
598,XYNOSINE NASAL SPRAY,579,5,3086,2022-12-01
599,XYLOCAINE 15 GR CAREM,566,5,3289,2019-09-30
600,XAVOR 50 MG TABLET,561,18,1576,2019-03-03
601,ZENTEL SYRUP,572,4,2229,2020-10-10
602,ZENTEL TABLET,569,10,2052,2020-09-09
603,ZINCAT -OD SYRUP,567,11,6000,2019-07-30
604,ZYRTEC SYRUP,578,6,4520,2019-02-17
605,ZYRTEC TABLET,851,142,430,2019-10-10
606,ZESTRIL 5 MG TABLET,194,26,785,2021-03-02
607,ZESTRIL 10 MG TABLET,574,42,1500,2021-03-02
608,ZAFNOL 50 MG TABLET,576,100,205,2022-11-30
609,ZAFNOL 100 MG TABLET,558,30,205,2021-09-09
610,ZANTAC 150 MG TABLET,731,54,882,2020-12-01
611,ZANTAC INJACTION,611,6,2200,2019-10-31
612,ZYLORIC 100 MG TABLET,565,230,161,2022-08-08
613,ZYLORIC 300 MG TABLET,564,240,463,2022-10-30
614,BETNELAN TABLETS,608,429,79,2020-10-30
615,NEOCOBAL INJECTION,600,32,4600,2019-07-07
616,MARHABA HONEY TUBE,598,3,5000,2019-09-09
617,MARHABA HONEY 80 GR ,586,1,7200,2020-10-30
618,MAXFOL 400 MG TABLETS,592,30,934,2019-04-04
619,CPM POND,596,2,5000,2019-05-05
620,THERMOMETER LARGE,603,3,10000,2022-02-04
621,THERMOMETER SMALL,601,4,5000,2021-11-14
622,NEBULIZER MASK SMALL,583,2,15000,2021-09-09
623,GENTIAN-VIOLET LOTION,589,12,2000,2019-06-06
624,ANAPAZ DROP,597,4,3683,2019-07-07
625,THERAGRAN-H TABLET,588,28,320,2019-03-03
626,THERAGRAN-ULTRA TABLET,584,73,1085,2019-03-30
627,VASELINE 100 ML INTENSIVE CARE ALOE SOOTHE,633,0,14900,2019-10-10
628,NALBIN INJECTION,585,10,5660,2019-02-02
629,CALPOL PLUS TABLETS,638,384,106,2020-10-30
630,COLGATE PLAX PEPPERMINT FRESH MOUTHWASH 60 ML,629,2,13000,2019-07-07
631,HILAXIN 0.5 TABLET,630,30,700,2019-02-04
632,ARCHE CREAM,1048,2,5000,2020-10-12
633,BF 1 400 GR MILK,874,1,72300,2019-06-04
634,BF 2 400 GR MILK,628,1,72300,2019-08-30
635,GRIPE WATER WOODWARD,616,12,6000,2019-12-01
636,E CAPSUL SMALL,636,15,1000,2019-11-05
637,UWILL TABLET ,615,119,30,2020-04-04
638,MUSCORIL 4 MG CAPSULES,618,20,2960,2020-03-03
639,QALSAN-D ORANGE FLAVOUR TABLET,614,0,10300,2019-10-30
640,CUTIVATE M CREAM,620,0,17700,2019-09-09
641,CUTIVATE  CREAM,632,1,12240,2019-06-06
642,AXID NEO 40 MG CAPSULES,804,18,1400,2019-09-30
643,SHAPER BLUE,625,16,1000,2022-02-04
644,SHAPER YELLOW,624,12,0,2022-04-04
645,LIGNOCAINE INJECTION SMALL,637,26,1000,2019-09-09
646,SHAXONE 500 INJECTION,799,8,17000,2018-04-04
647,ZOSARTAN-K 50 MG TABLETS,744,20,408,2020-07-07
648,CLARITEK 500 MG TABLETS,621,19,4350,2020-11-30
649,CLARITEK 250 MG TABLETS,623,14,2400,2020-09-30
650,KHATOONI SYRUP QARSHI,635,3,7000,2019-11-11
651,HAMDARD GHUTTI SYRUP 60,627,3,5000,2019-04-04
652,VENTOLIN SYRUP 120,631,3,5274,2019-03-31
653,NOVIDAT 125 MG SYRUP,622,7,9129,2019-10-30
654,CAFLAM 50 MG TABLETS,613,47,803,2022-08-30
655,CORTISPORIN EYE OINTMENT,658,28,2333,2022-03-03
656,SYDIP 75 TABLET,817,94,500,2019-07-07
657,PONSTAN FLASH 250 MG TABLETS,1143,82,178,2019-05-05
658,NORVASC 5 MG TABLET,1855,58,1193,2020-09-30
659,RELTUS SYRUP,639,2,5800,2018-09-09
660,REX TABLET,1647,64,420,2019-08-08
661,LEVODOR 500 MG TABLET,798,14,4160,2018-06-06
662,IBERET FOLIC TABLET 500,645,4,11628,2018-12-30
663,PROVAS INFUSION,642,1,8000,2018-10-10
664,OXIDIL 500 MG IV INJECTION,644,4,17500,2019-06-30
665,SURGEE GAUZES PECE SURGE,641,4,3900,2020-06-06
666,CYTOTEC 200 TABLET,661,8,22000,2019-10-30
667,ANAFORTAN PLUS INJECTION,652,2,3000,2021-02-04
668,SAMBRO 3 MG TABLETS,665,113,356,2020-06-30
669,SURGICAL GLOVES 7.5,666,2,7000,2022-02-04
670,SURGICAL GLOVES 7 ,643,1,7000,2022-02-04
671,SURGICAL GLOVES 6.5,667,1,7000,2020-02-04
672,B BRAUN 24 G BURNALA,649,1,11000,2021-12-12
673,NUBEROL  FORT TABLET,1055,68,528,2020-04-30
674,TIXYLIX SYRUP,654,11,4075,2019-03-30
675,VOLTRAL 50 MG TABLET,651,35,580,2022-09-30
676,CECLOR 50 DROPS,700,2,13430,2018-09-09
677,CECLOR 125 MG SYRUP,640,2,22046,2019-03-30
678,CECLOR 250 MG SYRUP,660,2,38537,2019-03-02
681,SPASLER-P SYRUP,648,8,10600,2020-10-30
682,LILAC SYRUP,646,2,15000,2019-11-30
683,RIGIX SYRUP,653,10,5421,2020-12-30
684,SAVOLI OIL,655,1,14000,2020-03-25
685,KLARICID 500 MG TABLET,659,15,6578,2020-11-30
686,KLARICID 250 MG TABLET,656,20,3637,2020-10-30
687,CERIDAL 10 TABLET,647,55,275,2019-10-10
688,AGOLIX 400 MG TABLET,664,1,1380,2019-03-03
690,KRACK CREAM,686,2,15000,2020-01-01
691,SAVIXIM 400 CAPSULES,674,9,6000,2018-10-10
692,URYARI OIL,673,5,45000,2020-09-09
693,SIDDIQUI LINIMENT OIL,670,5,7500,2020-09-09
694,SHILAJIT CAPSULES,676,7,4900,2018-09-09
695,REFSPAN 100 MG SYRUP,677,12,13000,2019-09-30
696,CLAMENTIN 156.25 MG SYRUP,857,5,7000,2018-12-12
697,OLGON 100 MG TABLETS,914,10,1000,2019-12-12
698,BARHOTI OIL,685,1,45000,2020-09-09
699,NESTLE WATER 250 ML,696,9,3000,2019-04-04
700,NESTLE WATER 1500 ML,672,4,6000,2019-04-30
702,MYRIN-P FORTE TABLETS,679,72,1095,2018-11-11
703,DIAMOND INHALER,692,19,4000,2018-06-06
704,OTOFLOX 0.3% EAR DROPS,687,7,8216,2019-04-30
705,LOWPLAT PLUS 75 MG TABLETS,669,17,1479,2019-11-11
706,FAIZA BEAUTY CREAM 242321 ,680,2,23000,2020-01-01
707,FAIZA BEAUTY CREAM 223190,693,6,19500,2021-01-30
708,DABUR AMLA SHAMPOO 400 ML,682,1,28000,2019-07-07
709,OCULUVIT EXTRA TABLETS,695,30,906,2019-06-06
710,MELAS-H CREAM,678,5,16000,2019-05-30
711,NEBRA CREAM REMINGTON,688,1,10431,2020-01-01
712,NISE 100 TABLETS,683,86,575,2019-11-30
713,RONDEC SYRUP,684,5,8522,2019-06-30
714,MINIDIAB 5 MG TABLETS,675,60,190,2019-03-03
715,CERELAC GANDUM 175 GR,724,1,16000,2018-10-10
716,CERELAC CHAWAL,668,2,16000,2018-07-07
717,CERELAC KELA AND GANDUM,681,2,18000,2018-06-06
718,CERELAC THREE FROOT,694,1,18000,2018-12-12
719,BUNYAD NESTLE 910 G,1274,2,63000,2018-09-03
720,OXIDIL 250 MG IV INJECTION,1049,6,11000,2019-07-30
721,BREMAX SYRUP,699,1,3388,2019-11-11
722,HUMULININSULIN 70 30,870,2,64500,2020-04-02
723,SHAPER BAIG L,709,4,0,2022-02-04
724,OLOPAT-DS DROPS,708,1,29500,2018-09-09
725,ZETRO 250 MG TABLETS,718,20,2600,2019-10-30
726,ZULTRACET TABLETS,834,20,1600,2020-02-02
727,COLGATE PLAX PEPPERMINT FRESH MOUTHWASH 250 ML,723,2,23000,2018-09-09
728,NIDO 910 GR MILK,703,0,80000,2019-01-01
729,TOUCH CONDOMS,710,18,4000,2022-03-02
730,EXCITE CONDOMS,736,0,3300,2018-03-03
731,LIPIVASTIN 10 MG TABLETS,702,10,1000,2019-11-11
732,FAIR LOVELY 25 G TUBE,698,4,7500,2019-06-06
733,FAIR LOVELY 70 ML CAREAM,719,4,20000,2019-07-21
734,SUDURI SYRUP,717,2,5000,2018-08-08
735,T-DAY SYRUP,806,9,3978,2019-09-30
736,TEMPRAMINE SYRUP,704,3,4000,2019-11-11
737,MECOBAL INJECTION,712,30,3910,2019-07-01
738,MUCAINE SYRUP,1154,47,5000,2020-11-11
739,HI-SALZ 40 G TOOTHPASTE ,706,2,5460,2020-07-07
740,MEDICAM TOOTHPASTE 40 G,721,2,5500,2021-05-30
741,SENDODYNE ORIGINAL TOOTHPASTE,711,0,19000,2022-02-04
742,SENSODYNE NEW TOOTHPASTE,716,0,25000,2022-02-04
743,DOCTOR TOOTHPASTE 70 GR,707,1,8000,2019-12-12
744,SENSE-T TOOTH PASTE 40 GR,697,3,5513,2019-09-30
745,CIPVAL 500 MG TABLETS,720,15,2150,2018-09-09
746,KNEE BRACE,713,2,5000,2021-11-19
747,ANKLE BRACE,705,2,5000,2021-11-03
748,ELBOW BRACE,726,2,5000,2022-02-04
749,WRIST BRACE,733,1,5000,2021-12-19
750,ZEZOT 500 MG TABLETS,1020,2,4000,2019-12-30
751,CHLORAMPHENICOL SYRUP,746,2,6000,2019-05-05
752,VASELINE LARGE,752,1,8000,2020-12-12
753,ECONAPHEN-G CREAM,727,2,5990,2019-02-02
754,HI-SERVIN 80 480 MG TABLETS,771,12,5578,2018-12-30
755,ISPAGHOL 25 GRAMS,743,0,5500,2021-02-04
756,ULCENIL 60 ML SYRUP,750,2,5000,2018-04-04
757,NITTO SURGICAL TAPE,732,3,5000,2020-02-02
758,NAPRIUM 550 TABLETS,916,75,715,2019-12-30
759,CERELAC RED FRUITS,749,1,21000,2018-06-06
760,LACTOGEN 1 MILK 400 GR,747,4,46000,2018-12-30
761,LACTOGROW 3 MILK 400 GR,729,3,47000,2018-05-05
762,RED TOOTH PASTE 200 GR,734,0,15500,2020-07-07
763,MYOFOLIC SACHET,735,13,4500,2019-06-06
764,VASELINE COCOA GLOW 100 ML,741,3,16500,2019-10-10
765,VASELINE 100 ML INTENSIVE CARE DEEP RESTORE,728,0,14900,2019-10-10
766,DAONIL TABLET,805,310,169,2020-09-30
767,MYTEKA 10 MG TABELT,960,14,2271,2020-09-30
768,LOPRIN 75 MG TABLETS,737,143,110,2019-11-30
769,SAFOOF-E-MUGHALIZ QARSHI,745,1,15000,2019-04-04
770,SAFOOF-E-DEMAGHI QARSHI,738,3,13000,2019-05-05
771,SAFOOF-E-THANDAK QARSHI,754,2,12000,2019-09-09
772,SAFOOF-E-JARIAN QARSHI,740,2,12000,2020-04-30
773,ACNE-AID SOAP,742,4,15000,2020-10-30
774,ACNE WASH SOAP,753,2,14500,2020-06-06
775,CHUARQA 240 ML QARSHI,748,5,6000,2019-12-30
776,ARQ SHIRIN 240 QARSHI,739,3,7000,2019-02-02
777,FACE FRESH CREAM LARGE,755,4,21000,2020-05-05
778,FACE FRESH CREAM SMALL,1553,4,8500,2020-08-30
779,FISH LIVER OIL  CAPSULES,794,47,100,2019-01-01
780,VITAMIN K TABLETS,757,10,60,2018-06-06
781,PCAM GEL,769,3,13900,2020-07-30
782,ADVANTAN CREAM,758,1,20332,2020-03-03
783,BF 3 400 GR MILK,774,1,72300,2019-08-30
784,DANZEN DS TABELTS,762,44,1075,2021-10-01
785,HI-SERVIN 40 240 MG TABLETS,778,13,3500,2018-09-09
786,TONOFLEX-P TABLETS,772,49,1014,2019-09-30
787,LABELLO LIPCARE,779,1,10000,2019-11-10
788,SUNNY D CAPSULE,760,3,24900,2019-11-01
789,BROXOL SYRUP,767,5,5000,2018-11-11
790,REFSPAN DS 200 MG SYRUP,768,6,18000,2019-02-06
791,ARQ-E-GULAB 120 ML MARHABA,766,6,3500,2020-07-30
792,CEFGEN 400 MG CAPSULES,783,25,6500,2019-08-30
793,MEIJI FM 1-T MILK,756,2,73500,2019-01-01
794,MEIJI FU 2 MILK,761,1,73500,2019-06-05
795,MEIJI BIG 3 MILK,781,1,73500,2018-04-08
796,NAN 1 MILK,775,1,66000,2019-01-01
797,NAN 2 MILK,773,1,66000,2018-10-10
798,NAN 3 MILK,765,1,66000,2018-06-06
799,PAEDI CARE STRAWBERRY FLAVOUR,764,4,8000,2019-09-30
800,ULSANIC SYRUP,948,3,12170,2020-10-10
801,GOLDEN PEARL CREAM,828,5,21000,2019-12-31
802,MENA CREAM,777,8,5000,2022-01-01
803,TRISIL TABLETS,782,129,102,2022-02-02
804,LAXOBERON TABLETS,763,80,230,2020-07-07
805,HYDERQUIN PLUS CREAM,785,7,10000,2019-10-30
806,MARHABA HONEY 500 GR LARGE,803,1,37500,2020-06-06
807,VENTOLIN INHALER,801,3,20000,2019-12-31
808,SALBO INHALER,796,3,20000,2020-03-30
809,OFIS 250 MG SYRUP,791,5,13900,2019-10-10
810,OFIS 500 MG CAPSULES,784,71,1000,2019-10-10
811,STILLMANS RED CREAM,797,1,25000,2019-12-12
812,SHIELD NIPPLE ,788,19,2500,2020-02-04
813,SHARBAT SADAR SYRUP QARSHI ,1000,5,10000,2018-11-30
814,COMBINOL E SYRUP,790,10,3600,2020-01-01
815,SUR-BEX SYRUP,787,1,4834,2018-09-09
816,TIBET CREAM,795,2,7500,2020-03-03
817,ACENAC 100 MG TABLETS,812,51,600,2019-02-02
818,T-DAY TABLETS,810,130,561,2020-09-30
819,SENIOR DIAPERS MEDIUM,19,10,6000,2024-10-10
820,DERMOSPORIN SOLUTION,53,6,4843,2020-12-01
821,CERTEZA GLUCOSE MONITOR,82,1,150000,2021-10-28
822,CERTEZA GLUCOSE STRIPS,117,50,2500,2018-03-02
823,SONY CELL,107,3,5000,2021-01-11
824,TORADOL 30 MG INJECTION,138,6,11640,2019-10-30
825,AMCLAV 375 MG TABLETS,171,12,1383,2019-03-02
826,ROGNE KALONJI 25ML,182,3,7500,2018-10-10
827,DEXIMOX EYE DROPS,199,1,20286,2019-02-02
828,AMCLAV 1000 MG TABLETS,219,6,3013,2019-03-30
829,AMCLAV 625 MG TABLETS,288,12,2018,2019-03-02
830,ISPAGHOL HANGER 4GR MARHABA,273,7,1000,2020-04-04
831,ARQ-E-GULAB 800ML MARHABA,319,1,12000,2019-11-11
832,ROSE WATER SPRAY MARHABA,323,4,7000,2020-08-08
833,ARQ-E-GULAB 50ML MARHABA,327,15,2500,2020-02-02
834,ARQ-E-GULAB 25ML DROP MARHABA,342,24,2000,2020-08-08
835,BUNYAD NESTLE 130 SACHE,371,4,9500,2018-07-07
836,BUNYAD NESTLE 260 GR,362,2,18500,2018-07-25
837,NIDO 390 GR MILK,367,1,38000,2018-04-04
838,FAIR LOVELY SACHE,570,7,3000,2019-09-09
839,DUE BEAUTY CREAM,397,1,30000,2020-12-30
840,MOVAX 4 MG TABLET,400,15,1750,2020-03-03
841,ZUDIC CREAM,408,5,13500,2019-09-09
842,ZUDICORT 15 GR CREAM,428,4,16830,2019-09-01
843,EVION 400 MG CAPSUL,559,83,449,2019-09-30
845,COMFREY ADULT DIAPERS M,595,20,5000,2021-01-01
846,CECLOR 500 MG CAPSULES,609,14,5452,2020-10-30
847,COFERB COUGH PLUS SYRUP,340,3,19500,2019-12-30
848,COFERB COUGH SYRUP,348,2,17500,2019-10-30
849,DIANE-35 TABLETS,331,1,31000,2020-07-07
850,LERIDAL 5 TABLETS,338,6,550,2018-05-05
851,ASCARD-75 MG TABLETS,326,20,122,2019-08-08
852,POLYFEX EYE OINTMENT,466,14,2160,2022-05-05
853,REMIPAR SYRUP,328,7,1900,2019-09-30
854,NEOMYCIN SKIN OINTMENT,619,8,2000,2019-11-11
855,BONJELA CREAM,522,8,3800,2020-10-10
856,PILEEN TABLETS QARSHI,808,4,11000,2020-08-08
857,ZESTRIL 20 MG TABLETS,314,14,2557,2018-11-11
858,NOCLOT 75 MG TABLETS,792,25,1428,2020-11-01
859,RODEXIB 400 MG TABLETS,907,37,1093,2018-04-04
860,MEPRESOR 100 MG TABELTS,811,1,718,2021-09-09
861,CO-VALTEC 80 12.5 TABLETS,786,25,1200,2019-07-01
862,CO-VALTEC 160 12.5 TABLETS,829,22,1428,2018-07-07
863,COUGAR 20 MG TABLETS,830,14,3300,2019-08-01
864,VALIUM 5 MG TABLETS,824,50,200,2020-09-09
865,VALIUM 10 MG TABLETS,971,96,300,2022-03-30
866,ALP 0.5 MG TABELTS,1109,63,645,2020-03-30
867,OPTACID 20 DROPS,825,11,2200,2019-09-30
868,SUSTAC 2.6 TABLETS,822,75,630,2020-11-30
869,AMOTAC TABLETS,821,22,360,2019-07-07
870,METHACHLOR EYE OINTMENT,1062,14,2100,2019-12-12
871,CLOBEDERM LOTION,814,5,4370,2019-10-30
872,CLOBEDERM-S LOTION,833,6,4600,2019-03-30
873,ANTIAL SYRUP,813,6,4405,2018-12-12
874,GENTICYN EYE EAR DROPS,1029,1,2415,2018-06-06
875,COMFREY ADULT DIAPERS L,819,46,5000,2021-02-01
876,FUDIC-H CREAM,838,5,12800,2020-10-30
877,ATEM NEBULISER SOLUTION,840,8,6085,2019-10-30
878,CLENIL FOR AEROSOL NEBULISATION,839,7,6777,2019-12-30
879,BASOQUIN TABLETS,1106,200,200,2022-08-30
880,DAFLON 500 TABLETS,818,23,1657,2020-10-30
881,ZODIP 5MG TABLETS,841,60,180,2020-09-30
882,GRAVINATE 50 TABLETS,936,383,110,2022-11-30
883,SANTE 20 CAPSUL,820,26,1357,2019-06-06
884,RITHMO DROPS,831,2,9433,2019-07-07
885,RITHMO 125 MG SYRUP,836,2,22619,2019-09-09
886,ZECOL CAPSULES,853,20,1790,2019-05-08
887,TEPH 40 MG CAPSULES,827,13,1785,2018-05-05
888,TEPH 20 MG CAPSUL,832,13,1100,2019-11-11
889,GILLETTE BLUE 3,837,4,10000,2020-02-04
890,KLARICID XL 500 MG TABLETS,815,15,6566,2019-10-30
891,SENSODYNE MULTI CARE 30 G,861,3,7500,2019-07-07
892,SENSODYNE FLUORIDE 30 G,850,3,7000,2019-07-07
893,SENSODYNE RAPID 30 G,866,1,7500,2019-07-07
894,ESOMEGA 40 MG CAPSUL,844,14,1678,2019-10-01
895,REMISOLE-NEW SYRUP,849,14,3600,2019-10-30
896,ALWAYS ULTRA EXTRA LONG 8 PECE,858,3,15000,2019-01-07
897,LACTOGEN 2 MILK 400 GR,847,2,46000,2018-08-08
898,LACTOGEN RECOVER MILK 180,856,1,28000,2018-07-07
899,ALWAYS MAXI THICK LONG 18 PECE,862,1,29000,2019-01-07
900,BRITANYL TABLETS,1031,68,147,2020-03-03
901,CIPOTIC-D EYR DROP,842,8,9129,2019-10-30
902,PLAVIX 75 TABLETS,843,46,2500,2020-02-02
903,DIAMICRON TABLET,905,11,765,2020-08-30
904,DIAMICRON MR TABLET,868,47,1122,2020-10-30
905,DIAMICRON MR 60 TABLET ,859,20,1611,2019-07-07
906,NEXUM 40 MG CAPSUL,878,63,2307,2020-03-03
907,NEXUM 20 MG CAPSUL,848,42,1571,2020-02-02
908,AMODIP 10 MG TABLETS,852,13,1600,2020-09-30
909,AMODIP 5 MG TABLETS,863,24,850,2020-06-06
910,LOSEC 20 MG CAPSULES,860,15,4985,2020-03-03
911,VICKS COUGH DROPS,881,0,300,2019-03-03
912,COVERSAM 4 MG 5 MG TABLETS,845,20,2346,2019-10-30
913,NEOPHAGE 500 MG TABLETS,988,100,170,2019-06-06
914,ATARAX 25 MG TABLETS,871,100,128,2019-10-09
915,SURBEX T SMALL TABLETS,899,0,6295,2018-10-10
916,EZOX 250 MG CAPSULES,886,17,2550,2019-09-09
917,CASTOR OIL 25 ML MARHABA,876,2,3000,2020-01-01
918,BEVIDOX TABLETS,880,1,9772,2018-12-12
919,CEFIGET 100 SYRUP,888,3,15500,2019-08-08
920,CEFIGET 200 DS SYRUP,895,2,23500,2019-08-30
921,CEFLOREX 400 MG CAPSULS,1069,1,6000,2018-11-11
922,PECTUS SYRUP,891,8,4800,2019-06-06
923,POLYPEP SYRUP,890,5,6864,2019-09-30
924,NERISONE FORTE OINTMENT,1045,1,13900,2020-09-09
925,DULAN 30 MG CAPSULES,873,19,2500,2018-11-11
926,CEFSPAN 400 MG CAPSUL,875,5,10396,2019-11-30
927,GOLDEN PEARL DAILY FACE WASH,885,1,7500,2019-10-10
928,YOKO WHITENING CREAM,879,2,5000,2019-10-10
929,EPIVAL 250 MG SYRUP,893,2,13900,2019-04-04
930,EPIVAL 500 MG TABLETS,884,18,821,2019-05-05
931,EPIVAL 250 MG TABLETS,898,95,516,2018-12-12
932,VOLTRAL EMULGEL LARGE,896,3,25760,2020-11-30
933,CHOC BAR 55 ML,1586,20,2000,2019-02-02
934,ARYNOIN 20 CAPSUL,882,9,5750,2018-03-03
935,CLEAR CREAM,926,4,14280,2019-10-01
936,ACCU-CHEK PERFORMA 50,892,50,3200,2018-05-31
937,DOLTEE TEETHING DROPS,872,1,2500,2019-02-04
938,ACCU-CHEK PERFORMA NANO,918,1,330000,2022-02-04
939,ALPK 2 ADULT CUFF,902,2,30000,2022-02-04
940,MEDI SOX DIABETIC SOCKS,901,2,30000,2022-02-04
941,ACCU-CHEK ACTIVE 50,910,50,3200,2019-06-06
942,HYZONATE 500 INJECTION,903,1,31950,2020-06-06
943,BOAN-D3 CHEWABLE TABLETS,909,10,1750,2019-10-31
944,ADICOS SYRUP,942,2,3703,2022-06-06
945,M-SPAN DS SYRUP,923,4,30000,2018-12-12
946,GLUCOMET TABLETS,904,30,233,2019-01-01
947,GLUCOMET PLUS TABLETS,912,60,266,2019-08-08
948,CLAMENTIN 312.5 MG SYRUP,920,1,10900,2018-12-12
949,SILLIVER 200 MG TABELTS,913,1,20691,2019-01-01
950,TEGRAL 200 MG TABLETS,906,17,491,2022-08-31
951,YELLOW STAR TABLETS,915,12,8000,2021-01-30
